#Config:  Dist_ave   Dist_min_ave  Cost
44: 12.1568890 4.40265083 0.164714187
9: 12.1508541 4.40238523 0.164756268
43: 12.1470680 4.40146780 0.164760366
45: 12.1450663 4.40191221 0.164824724
47: 12.1430483 4.40143871 0.164835602
23: 12.1446524 4.40260649 0.164836779
14: 12.1415606 4.40260649 0.164871007
15: 12.1402407 4.40167522 0.164903820
30: 12.1398020 4.40099478 0.164915726
5: 12.1362925 4.40302134 0.165019631
10: 12.1354227 4.42787981 0.165021524
35: 12.1330862 4.40260649 0.165113226
40: 12.1359720 4.43652868 0.165155843
38: 12.1276941 4.41343594 0.165200710
42: 12.1299610 4.40143871 0.165232018
1: 12.1584702 4.38505220 0.165736794
50: 12.1512241 4.38415003 0.165761501
31: 12.1546450 4.40377188 0.165786341
46: 12.1522293 4.40377188 0.165820181
27: 12.1539660 4.40377140 0.165826902
28: 12.1516542 4.40377188 0.165853500
8: 12.1478786 4.40377140 0.165882871
41: 12.1529808 4.42524242 0.165883273
13: 12.1345167 4.38440180 0.165954977
36: 12.1355743 4.38372040 0.165987268
25: 12.1452408 4.40752268 0.166012034
24: 12.1299353 4.39736986 0.166102320
7: 12.1288376 4.38691616 0.166133344
34: 12.1254339 4.39804935 0.166295052
12: 12.1298962 4.35881710 5471.96387
48: 12.1381884 4.34313393 5471.97803
17: 12.1244488 4.35296297 5471.98096
4: 12.1316442 4.33287525 5471.98438
3: 12.1247082 4.35902548 5472.00439
21: 12.1240473 4.35746717 5472.01270
18: 12.1392250 4.30207300 8207.97070
22: 12.1256113 4.29768133 8207.98145
29: 12.1306362 4.31128693 8207.99707
26: 12.1444597 4.26999855 10943.9277
33: 12.1437464 4.28445339 10943.9580
49: 12.1272373 4.25735235 13679.9014
11: 12.1492319 4.25265026 13679.9023
20: 12.1358299 4.24602938 13679.9297
39: 12.1442766 4.25574017 13679.9365
19: 12.1487980 4.22055292 16415.8750
16: 12.1432219 4.21101856 16415.8789
32: 12.1447783 4.22078848 16415.8848
2: 12.1454239 4.19139385 19151.8516
6: 12.1475286 4.19426823 19151.8516
37: 12.1412096 4.18617725 19151.8652
